AccidentUID,AccidentYear,AccidentMonth,AccidentWeekDay,AccidentHour,CantonCode,AccidentSeverityCategory,AccidentInvolvingMotorcycle
string,,,,,,,
meta,,,,,,,
string,,,,,,,
meta,,,,,,,
99AE2B69F2FC70E8E0430A865E3370E8,2011.0,Jan,Do,Nachmittag,,Leicht,0.0
9BFF47B10B9D800AE0430A865E33800A,2011.0,Feb,Mo,Nachmittag,,Leicht,1.0
9DF704CC19438002E0430A865E338002,2011.0,Mar,Mo,Nachmittag,,Leicht,0.0
9DF70820D262F0ACE0430A865E33F0AC,2011.0,Mar,Do,Nachmittag,,Leicht,0.0
9E21CAA077B2E0ECE0430A865E33E0EC,2011.0,Mar,Fr,Nachmittag,,Leicht,0.0
A0BACF4EFE43A066E0430A865E33A066,2011.0,Apr,Do,Nachmittag,,Leicht,1.0
A0BACF4F0700A066E0430A865E33A066,2011.0,Apr,Do,Abend,,Schwer,0.0
A0C9BFD989D5B04CE0430A865E33B04C,2011.0,Apr,Do,Nachmittag,,Schwer,0.0
A0F2CF63EBA340A2E0430A865E3340A2,2011.0,Apr,Di,Vormittag,,Schwer,0.0
A2349D0370E6307CE0430A865E33307C,2011.0,Mai,Do,Vormittag,,Schwer,0.0
A777CC43B0820012E0430A8394270012,2011.0,Jul,Do,Abend,,Leicht,0.0
A85E5BFEB6D60108E0430A8394270108,2011.0,Jun,Mo,Nachmittag,,Leicht,0.0
A8919CB1FDF401A4E0430A83942701A4,2011.0,Jul,Fr,Nachmittag,,Leicht,0.0
AB28DA7E7B85009AE0430A839427009A,2011.0,Sep,So,Abend,,Leicht,0.0
B3E2F227AA5A00DAE0430A83942700DA,2011.0,Dez,Mo,Nachmittag,,Leicht,0.0
B3ECE10F29740184E0430A8394270184,2012.0,Jan,So,Nachmittag,,Leicht,0.0
B3F708A6C3BC0092E0430A8394270092,2012.0,Jan,Mi,Nachmittag,,Leicht,0.0
B7171FD0255900C4E0430A83942700C4,2012.0,Feb,Mi,Vormittag,,Leicht,0.0
C0C76DCAED370080E0430A83942729A8,2012.0,Mai,Sa,Nachmittag,,Leicht,0.0
9EFC87F381063078E0430A865E333078,2011.0,Mar,Mo,Vormittag,,Schwer,0.0
A0BA78322522E06EE0430A865E33E06E,2011.0,Apr,Sa,Vormittag,,Leicht,1.0
A2459425D7E1206EE0430A865E33206E,2011.0,Mai,Mi,Nachmittag,,Schwer,1.0
A7045526D8750106E0430A8394270106,2011.0,Jul,So,Nachmittag,,Schwer,0.0
A891B01BF72B015AE0430A839427015A,2011.0,Jun,Mi,Nachmittag,,Schwer,1.0
AAC3D09510E400AEE0430A83942700AE,2011.0,Aug,Mo,Vormittag,,Schwer,0.0
AAC434B395840062E0430A8394270062,2011.0,Aug,Do,Abend,,Leicht,1.0
AB28DA7EB388009AE0430A839427009A,2011.0,Sep,Sa,Vormittag,,Leicht,0.0
AE93998420AA0106E0430A8394270106,2011.0,Sep,Mo,Vormittag,,Leicht,1.0
B1053254DC680026E0430A8394270026,2011.0,Nov,Sa,Vormittag,,Leicht,0.0
B1256E932B5801A2E0430A83942701A2,2011.0,Nov,Mi,Vormittag,,Leicht,0.0
B3ECE649235A004CE0430A839427004C,2011.0,Nov,So,Nacht,,Leicht,0.0
B3ECEDCC9D9A0122E0430A8394270122,2011.0,Dez,Di,Vormittag,,Leicht,0.0
B3F45973377C0028E0430A8394270028,2011.0,Dez,So,Vormittag,,Leicht,0.0
B3F6157502E400B2E0430A83942700B2,2012.0,Jan,Mi,Nachmittag,,Leicht,0.0
B7171FD058D800C4E0430A83942700C4,2012.0,Feb,Mo,Nachmittag,,Leicht,0.0
BAF3335C1803014CE0430A839427014C,2012.0,Mar,Fr,Abend,,Tot,0.0
BECCCB35DFE1018EE0430A839427F016,2012.0,Mai,Fr,Nachmittag,,Leicht,0.0
C023B314AD890126E0430A839427ACC5,2012.0,Mai,Mo,Nachmittag,,Leicht,0.0
C0D7C318A1370062E0430A839427D87E,2012.0,Jun,Sa,Nachmittag,,Leicht,0.0
C193FF45320B00AEE0430A839427DA9B,2012.0,Mai,Di,Vormittag,,Leicht,0.0
C2316245608000A8E0430A83942780AC,2012.0,Jun,Di,Nachmittag,,Leicht,0.0
C2DAE2C87273012CE0430A839427FFE5,2012.0,Jun,Fr,Vormittag,,Leicht,0.0
C398D418943A0086E0430A83942715D4,2012.0,Jun,Sa,Nachmittag,,Leicht,0.0
C41C5364E1FE0072E0430A839427C634,2012.0,Jun,Sa,Nacht,,Leicht,1.0
C473312B452E0068E0430A83942792C3,2012.0,Jun,Fr,Abend,,Leicht,0.0
C4A30E899C3C01A6E0430A83942716CD,2012.0,Jul,Mo,Vormittag,,Leicht,0.0
CB71665877E6016AE0430A83942710FD,2012.0,Nov,Do,Nacht,,Leicht,0.0
CB88EC5064CB0118E0430A83942717D8,2012.0,Sep,Do,Vormittag,,Leicht,0.0
CB88EC510D450118E0430A83942717D8,2012.0,Okt,Sa,Nachmittag,,Schwer,0.0
D8A6FA418CB80174E0430A839427D0EA,2013.0,Mar,Do,Vormittag,,Leicht,0.0
D8A6FD8D34B80260E0430A8394275B7B,2013.0,Mar,Fr,Nachmittag,,Leicht,0.0
9EFC87F38D903078E0430A865E333078,2011.0,Mar,Mo,Abend,,Schwer,0.0
9F8A1ABBF6C27022E0430A865E337022,2011.0,Mar,Di,Nachmittag,,Leicht,0.0
A0BACF4F120AA066E0430A865E33A066,2011.0,Apr,Fr,Vormittag,,Schwer,0.0
A24594268967206EE0430A865E33206E,2011.0,Mai,Mo,Vormittag,,Leicht,0.0
A5D2A7736F00B0A8E0430A865E33B0A8,2011.0,Jun,Do,Abend,,Leicht,0.0
A5D301AC4C38F04AE0430A865E33F04A,2011.0,Jun,Di,Nachmittag,,Leicht,0.0
A891B01BDFF2015AE0430A839427015A,2011.0,Jul,Mi,Nachmittag,,Leicht,1.0
A9E75BADD8780132E0430A8394270132,2011.0,Aug,Do,Nacht,,Schwer,0.0
ADE958A6EEF8001CE0430A839427001C,2011.0,Okt,So,Nachmittag,,Leicht,1.0
B1256E93621801A2E0430A83942701A2,2011.0,Nov,Di,Vormittag,,Tot,0.0
B3A475562F5700DCE0430A83942700DC,2011.0,Okt,Fr,Vormittag,,Leicht,0.0
B3ECEDCBECAC0122E0430A8394270122,2011.0,Dez,Mi,Vormittag,,Leicht,0.0
B3ECEDCBFF4A0122E0430A8394270122,2011.0,Nov,Mo,Nachmittag,,Leicht,0.0
B3ECEDCD0AFB0122E0430A8394270122,2012.0,Jan,Do,Abend,,Schwer,0.0
B3F708A680920092E0430A8394270092,2011.0,Dez,Fr,Vormittag,,Leicht,0.0
B733D4C2040B003CE0430A839427003C,2012.0,Feb,Mo,Nachmittag,,Leicht,0.0
BAF0291385D20066E0430A8394270066,2012.0,Mar,Di,Nachmittag,,Leicht,0.0
BECCCB3617F1018EE0430A839427F016,2012.0,Mai,Mi,Vormittag,,Schwer,1.0
BECCE31AAB3F0172E0430A8394279B90,2012.0,Mai,Mi,Nachmittag,,Leicht,0.0
C193FF45792F00AEE0430A839427DA9B,2012.0,Mai,Mo,Vormittag,,Leicht,0.0
C46C695AD80C014CE0430A839427A6BF,2012.0,Okt,Fr,Nachmittag,,Schwer,0.0
C474069B5B5E00FEE0430A839427FB8A,2012.0,Jul,So,Nachmittag,,Leicht,0.0
C4A30E8A092501A6E0430A83942716CD,2012.0,Aug,Fr,Vormittag,,Schwer,0.0
CB716657BE64016AE0430A83942710FD,2012.0,Nov,Fr,Vormittag,,Leicht,0.0
CC66D9853FCB01DEE0430A83942786C7,2012.0,Okt,So,Nachmittag,,Schwer,1.0
CC66E60F2D45013CE0430A8394274C05,2012.0,Okt,Mi,Nachmittag,,Schwer,0.0
9AC554AD39828000E0430A865E338000,2011.0,Feb,Di,Nachmittag,,Schwer,0.0
A73A8EC8B608009AE0430A839427009A,2011.0,Jul,So,Vormittag,,Leicht,0.0
B2F43E7CC5AF013CE0430A839427013C,2011.0,Dez,Do,Nachmittag,,Leicht,1.0
B72DAF4FA233000AE0430A839427000A,2012.0,Jan,So,Nacht,,Schwer,0.0
BC9EDDBBD4800052E0430A8394270052,2012.0,Mar,Mo,Nachmittag,,Leicht,0.0
BCAD6BB58B0701D8E0430A83942701D8,2012.0,Apr,Fr,Abend,,Schwer,0.0
